TID,Variable,Value
1986-12,pi^12_t,0.04474708171206232
1986-12,pi_t,0.0
1987-01,2020indeks,52.23300970873787
1987-01,INDHOLD,53.8
1987-01,pi^12_t,0.04873294346978585
1987-01,pi_t,0.0018621973929235924
1987-02,2020indeks,52.135922330097095
1987-02,INDHOLD,53.7
1987-02,pi^12_t,0.04678362573099437
1987-02,pi_t,-0.0018587360594795044
1987-03,2020indeks,52.62135922330098
1987-03,INDHOLD,54.2
1987-03,pi^12_t,0.05242718446601957
1987-03,pi_t,0.009310986964618184
1987-04,2020indeks,52.815533980582515
1987-04,INDHOLD,54.4
1987-04,pi^12_t,0.030303030303030054
1987-04,pi_t,0.0036900369003687317
1987-05,2020indeks,53.300970873786405
1987-05,INDHOLD,54.9
1987-05,pi^12_t,0.03195488721804485
1987-05,pi_t,0.009191176470588314
1987-06,2020indeks,53.300970873786405
1987-06,INDHOLD,54.9
1987-06,pi^12_t,0.03389830508474567
1987-06,pi_t,0.0
1987-07,2020indeks,53.300970873786405
1987-07,INDHOLD,54.9
1987-07,pi^12_t,0.03977272727272729
1987-07,pi_t,0.0
1987-08,2020indeks,53.49514563106796
1987-08,INDHOLD,55.1
1987-08,pi^12_t,0.039622641509434064
1987-08,pi_t,0.0036429872495447047
1987-09,2020indeks,53.78640776699029
1987-09,INDHOLD,55.4
1987-09,pi^12_t,0.03745318352059934
1987-09,pi_t,0.005444646098003547
1987-10,2020indeks,53.980582524271846
1987-10,INDHOLD,55.6
1987-10,pi^12_t,0.03925233644859816
1987-10,pi_t,0.0036101083032491488
1987-11,2020indeks,54.1747572815534
1987-11,INDHOLD,55.8
1987-11,pi^12_t,0.03910614525139655
1987-11,pi_t,0.003597122302158251
1987-12,2020indeks,54.1747572815534
1987-12,INDHOLD,55.8
1987-12,pi^12_t,0.03910614525139655
1987-12,pi_t,0.0
1988-01,2020indeks,54.46601941747573
1988-01,INDHOLD,56.1
1988-01,pi^12_t,0.04275092936802971
1988-01,pi_t,0.005376344086021501
1988-02,2020indeks,54.85436893203883
1988-02,INDHOLD,56.5
1988-02,pi^12_t,0.05214152700186192
1988-02,pi_t,0.007130124777183555
1988-03,2020indeks,55.0485436893204
1988-03,INDHOLD,56.7
1988-03,pi^12_t,0.046125461254612476
1988-03,pi_t,0.0035398230088496963
1988-04,2020indeks,55.242718446601934
1988-04,INDHOLD,56.9
1988-04,pi^12_t,0.045955882352941124
1988-04,pi_t,0.0035273368606698607
1988-05,2020indeks,55.72815533980583
1988-05,INDHOLD,57.4
1988-05,pi^12_t,0.04553734061930803
1988-05,pi_t,0.008787346221441394
1988-06,2020indeks,55.72815533980583
1988-06,INDHOLD,57.4
1988-06,pi^12_t,0.04553734061930803
1988-06,pi_t,0.0
1988-07,2020indeks,55.4368932038835
1988-07,INDHOLD,57.1
1988-07,pi^12_t,0.040072859744991085
1988-07,pi_t,-0.005226480836237002
1988-08,2020indeks,55.8252427184466
1988-08,INDHOLD,57.5
1988-08,pi^12_t,0.04355716878402904
1988-08,pi_t,0.007005253940455258
1988-09,2020indeks,56.21359223300971
1988-09,INDHOLD,57.9
1988-09,pi^12_t,0.045126353790613916
1988-09,pi_t,0.006956521739130528
1988-10,2020indeks,56.310679611650485
1988-10,INDHOLD,58.0
1988-10,pi^12_t,0.043165467625899234
1988-10,pi_t,0.0017271157167528806
1988-11,2020indeks,56.699029126213595
1988-11,INDHOLD,58.4
1988-11,pi^12_t,0.04659498207885315
1988-11,pi_t,0.006896551724137945
1988-12,2020indeks,56.699029126213595
1988-12,INDHOLD,58.4
1988-12,pi^12_t,0.04659498207885315
1988-12,pi_t,0.0
1989-01,2020indeks,56.89320388349515
1989-01,INDHOLD,58.6
1989-01,pi^12_t,0.04456327985739761
1989-01,pi_t,0.003424657534246478
1989-02,2020indeks,57.28155339805825
1989-02,INDHOLD,59.0
1989-02,pi^12_t,0.04424778761061954
1989-02,pi_t,0.0068259385665527805
1989-03,2020indeks,57.66990291262136
1989-03,INDHOLD,59.4
1989-03,pi^12_t,0.04761904761904745
1989-03,pi_t,0.006779661016949268
1989-04,2020indeks,58.05825242718446
1989-04,INDHOLD,59.8
1989-04,pi^12_t,0.05096660808435871
1989-04,pi_t,0.006734006734006703
1989-05,2020indeks,58.44660194174758
1989-05,INDHOLD,60.2
1989-05,pi^12_t,0.04878048780487809
1989-05,pi_t,0.006688963210702559
1989-06,2020indeks,58.252427184466015
1989-06,INDHOLD,60.0
1989-06,pi^12_t,0.04529616724738661
1989-06,pi_t,-0.0033222591362128684
1989-07,2020indeks,58.252427184466015
1989-07,INDHOLD,60.0
1989-07,pi^12_t,0.050788091068300956
1989-07,pi_t,0.0
1989-08,2020indeks,58.543689320388346
1989-08,INDHOLD,60.3
1989-08,pi^12_t,0.04869565217391303
1989-08,pi_t,0.0050000000000001155
1989-09,2020indeks,58.83495145631068
1989-09,INDHOLD,60.6
1989-09,pi^12_t,0.04663212435233155
1989-09,pi_t,0.004975124378109541
1989-10,2020indeks,59.126213592233015
1989-10,INDHOLD,60.9
1989-10,pi^12_t,0.050000000000000044
1989-10,pi_t,0.004950495049505177
1989-11,2020indeks,59.417475728155345
1989-11,INDHOLD,61.2
1989-11,pi^12_t,0.047945205479452024
1989-11,pi_t,0.0049261083743843415
1989-12,2020indeks,59.417475728155345
1989-12,INDHOLD,61.2
1989-12,pi^12_t,0.047945205479452024
1989-12,pi_t,0.0
1990-01,2020indeks,59.02912621359223
1990-01,INDHOLD,60.8
1990-01,pi^12_t,0.03754266211604085
1990-01,pi_t,-0.0065359477124184995
1990-02,2020indeks,59.22330097087378
1990-02,INDHOLD,61.0
1990-02,pi^12_t,0.03389830508474567
1990-02,pi_t,0.0032894736842103978
1990-03,2020indeks,59.417475728155345
1990-03,INDHOLD,61.2
1990-03,pi^12_t,0.030303030303030276
1990-03,pi_t,0.003278688524590345
1990-04,2020indeks,59.417475728155345
1990-04,INDHOLD,61.2
1990-04,pi^12_t,0.0234113712374584
1990-04,pi_t,0.0
1990-05,2020indeks,59.80582524271845
1990-05,INDHOLD,61.6
1990-05,pi^12_t,0.02325581395348819
1990-05,pi_t,0.006535947712418277
1990-06,2020indeks,59.70873786407766
1990-06,INDHOLD,61.5
1990-06,pi^12_t,0.02499999999999991
1990-06,pi_t,-0.0016233766233767488
1990-07,2020indeks,59.51456310679612
1990-07,INDHOLD,61.3
1990-07,pi^12_t,0.021666666666666723
1990-07,pi_t,-0.003252032520325021
1990-08,2020indeks,60.09708737864078
1990-08,INDHOLD,61.9
1990-08,pi^12_t,0.026533996683250516
1990-08,pi_t,0.00978792822185981
1990-09,2020indeks,60.58252427184466
1990-09,INDHOLD,62.4
1990-09,pi^12_t,0.02970297029702973
1990-09,pi_t,0.008077544426494221
1990-10,2020indeks,60.77669902912621
1990-10,INDHOLD,62.6
1990-10,pi^12_t,0.027914614121510528
1990-10,pi_t,0.0032051282051281937
1990-11,2020indeks,60.679611650485434
1990-11,INDHOLD,62.5
1990-11,pi^12_t,0.0212418300653594
1990-11,pi_t,-0.0015974440894569453
1990-12,2020indeks,60.48543689320388
1990-12,INDHOLD,62.3
1990-12,pi^12_t,0.017973856209150263
1990-12,pi_t,-0.0031999999999999806
1991-01,2020indeks,60.48543689320388
1991-01,INDHOLD,62.3
1991-01,pi^12_t,0.024671052631578982
1991-01,pi_t,0.0
1991-02,2020indeks,60.679611650485434
1991-02,INDHOLD,62.5
1991-02,pi^12_t,0.024590163934426368
1991-02,pi_t,0.0032102728731941976
1991-03,2020indeks,60.77669902912621
1991-03,INDHOLD,62.6
1991-03,pi^12_t,0.02287581699346397
1991-03,pi_t,0.0016000000000000458
1991-04,2020indeks,60.970873786407765
1991-04,INDHOLD,62.8
1991-04,pi^12_t,0.02614379084967311
1991-04,pi_t,0.0031948881789136685
1991-05,2020indeks,61.359223300970875
1991-05,INDHOLD,63.2
1991-05,pi^12_t,0.025974025974025983
1991-05,pi_t,0.006369426751592355
1991-06,2020indeks,61.45631067961165
1991-06,INDHOLD,63.3
1991-06,pi^12_t,0.029268292682926855
1991-06,pi_t,0.0015822784810126667
1991-07,2020indeks,61.262135922330096
1991-07,INDHOLD,63.1
1991-07,pi^12_t,0.029363784665578985
1991-07,pi_t,-0.003159557661927326
1991-08,2020indeks,61.359223300970875
1991-08,INDHOLD,63.2
1991-08,pi^12_t,0.02100161550888524
1991-08,pi_t,0.0015847860538826808
1991-09,2020indeks,61.74757281553398
1991-09,INDHOLD,63.6
1991-09,pi^12_t,0.019230769230769162
1991-09,pi_t,0.006329113924050667
1991-10,2020indeks,61.844660194174764
1991-10,INDHOLD,63.7
1991-10,pi^12_t,0.01757188498402562
1991-10,pi_t,0.0015723270440253234
1991-11,2020indeks,62.13592233009708
1991-11,INDHOLD,64.0
1991-11,pi^12_t,0.02400000000000002
1991-11,pi_t,0.0047095761381472645
1991-12,2020indeks,61.94174757281553
1991-12,INDHOLD,63.8
1991-12,pi^12_t,0.024077046548956593
1991-12,pi_t,-0.0031249999999999334
1992-01,2020indeks,61.844660194174764
1992-01,INDHOLD,63.7
1992-01,pi^12_t,0.022471910112359605
1992-01,pi_t,-0.0015673981191220987
1992-02,2020indeks,62.13592233009708
1992-02,INDHOLD,64.0
1992-02,pi^12_t,0.02400000000000002
1992-02,pi_t,0.0047095761381472645
1992-03,2020indeks,62.33009708737865
1992-03,INDHOLD,64.2
1992-03,pi^12_t,0.025559105431310014
1992-03,pi_t,0.0031250000000002665
1992-04,2020indeks,62.42718446601941
1992-04,INDHOLD,64.3
1992-04,pi^12_t,0.023885350318471277
1992-04,pi_t,0.0015576323987536167
1992-05,2020indeks,62.912621359223294
1992-05,INDHOLD,64.8
1992-05,pi^12_t,0.025316455696202445
1992-05,pi_t,0.007776049766718529
1992-06,2020indeks,62.912621359223294
1992-06,INDHOLD,64.8
1992-06,pi^12_t,0.023696682464454888
1992-06,pi_t,0.0
1992-07,2020indeks,62.62135922330098
1992-07,INDHOLD,64.5
1992-07,pi^12_t,0.022187004754358197
1992-07,pi_t,-0.004629629629629428
1992-08,2020indeks,62.71844660194175
1992-08,INDHOLD,64.6
1992-08,pi^12_t,0.022151898734177333
1992-08,pi_t,0.0015503875968991832
1992-09,2020indeks,62.912621359223294
1992-09,INDHOLD,64.8
1992-09,pi^12_t,0.018867924528301883
1992-09,pi_t,0.003095975232197956
1992-10,2020indeks,62.912621359223294
1992-10,INDHOLD,64.8
1992-10,pi^12_t,0.01726844583987419
1992-10,pi_t,0.0
1992-11,2020indeks,63.00970873786408
1992-11,INDHOLD,64.9
1992-11,pi^12_t,0.014062500000000089
1992-11,pi_t,0.0015432098765433278
1992-12,2020indeks,62.81553398058253
1992-12,INDHOLD,64.7
1992-12,pi^12_t,0.014106583072100554
1992-12,pi_t,-0.0030816640986132127
1993-01,2020indeks,62.71844660194175
1993-01,INDHOLD,64.6
1993-01,pi^12_t,0.014128728414442682
1993-01,pi_t,-0.0015455950540959051
1993-02,2020indeks,62.912621359223294
1993-02,INDHOLD,64.8
1993-02,pi^12_t,0.012499999999999956
1993-02,pi_t,0.003095975232197956
1993-03,2020indeks,63.00970873786408
1993-03,INDHOLD,64.9
1993-03,pi^12_t,0.010903426791277315
1993-03,pi_t,0.0015432098765433278
1993-04,2020indeks,63.10679611650486
1993-04,INDHOLD,65.0
1993-04,pi^12_t,0.010886469673406118
1993-04,pi_t,0.0015408320493066618
1993-05,2020indeks,63.49514563106796
1993-05,INDHOLD,65.4
1993-05,pi^12_t,0.0092592592592593
1993-05,pi_t,0.006153846153846176
1993-06,2020indeks,63.49514563106796
1993-06,INDHOLD,65.4
1993-06,pi^12_t,0.0092592592592593
1993-06,pi_t,0.0
1993-07,2020indeks,63.30097087378641
1993-07,INDHOLD,65.2
1993-07,pi^12_t,0.010852713178294504
1993-07,pi_t,-0.003058103975535187
1993-08,2020indeks,63.49514563106796
1993-08,INDHOLD,65.4
1993-08,pi^12_t,0.01238390092879249
1993-08,pi_t,0.0030674846625766694
1993-09,2020indeks,63.689320388349515
1993-09,INDHOLD,65.6
1993-09,pi^12_t,0.012345679012345734
1993-09,pi_t,0.003058103975535076
1993-10,2020indeks,63.786407766990294
1993-10,INDHOLD,65.7
1993-10,pi^12_t,0.013888888888889062
1993-10,pi_t,0.0015243902439023849
1993-11,2020indeks,63.883495145631066
1993-11,INDHOLD,65.8
1993-11,pi^12_t,0.013867488443759513
1993-11,pi_t,0.0015220700152205335
1993-12,2020indeks,63.786407766990294
1993-12,INDHOLD,65.7
1993-12,pi^12_t,0.015455950540958163
1993-12,pi_t,-0.001519756838905706
1994-01,2020indeks,63.883495145631066
1994-01,INDHOLD,65.8
1994-01,pi^12_t,0.018575851393188847
1994-01,pi_t,0.0015220700152205335
1994-02,2020indeks,64.07766990291263
1994-02,INDHOLD,66.0
1994-02,pi^12_t,0.018518518518518823
1994-02,pi_t,0.003039513677811634
1994-03,2020indeks,64.1747572815534
1994-03,INDHOLD,66.1
1994-03,pi^12_t,0.018489984591679498
1994-03,pi_t,0.0015151515151512474
1994-04,2020indeks,64.36893203883494
1994-04,INDHOLD,66.3
1994-04,pi^12_t,0.019999999999999796
1994-04,pi_t,0.0030257186081692478
1994-05,2020indeks,64.66019417475728
1994-05,INDHOLD,66.6
1994-05,pi^12_t,0.0183486238532109
1994-05,pi_t,0.00452488687782826
1994-06,2020indeks,64.75728155339806
1994-06,INDHOLD,66.7
1994-06,pi^12_t,0.01987767584097866
1994-06,pi_t,0.0015015015015016342
1994-07,2020indeks,64.66019417475728
1994-07,INDHOLD,66.6
1994-07,pi^12_t,0.021472392638036686
1994-07,pi_t,-0.0014992503748126884
1994-08,2020indeks,64.85436893203882
1994-08,INDHOLD,66.8
1994-08,pi^12_t,0.021406727828745975
1994-08,pi_t,0.0030030030030028243
1994-09,2020indeks,64.95145631067962
1994-09,INDHOLD,66.9
1994-09,pi^12_t,0.01981707317073189
1994-09,pi_t,0.0014970059880241582
